"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"CREIY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CR2 EMPREENDMNTS IM S/ADR","Brazil","CR2 Empreendimentos Imobiliarios SA"
"CREQF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CHINA RARE EARTH HLDGS","Cayman Islands","China Rare Earth Holdings Ltd."
"CRERF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CARREFOUR SA","France","Carrefour S.A."
"CREX","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","CREATIVE REALITIES INC","USA","Creative Realities, Inc."
"CRFU","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CAREFREE GROUP INC","USA","Carefree Group, Inc."
"CRGE","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CLENERGEN CORP","USA","Clenergen Corp."
"CRHCF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CRH PLC ORD","Ireland","CRH Plc"
"CRHKY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CHINA RES ENTRPR LTD ADR","China","China Resources Enterprise Ltd."
"CRHO","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CHENGHUI REALTY HLDG CO","China","Chenghui Realty Holding Co."
"CRIM","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","CRIMSON FOREST ENTMT GRP","USA","Crimson Forest Entertainment Group Inc."
"CRJI","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CHINA RUNJI CEMENT INC","China","China Runji Cement, Inc."
"CRKT","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CIRMAKER TECHNOLOGY CORP","Taiwan","Cirmaker Technology Corp."
"CRLI","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CIRCUIT RESEARCH LABS INC","USA","Circuit Research Labs, Inc."
"CRLKP","OTC Link","27/10/2015","OTC Pink No Information","N","Preferred Stock","","CENTRAL PRKNG F/T 5.25PFD","USA","Central Parking Finance Trust"
"CRLN","OTC Link","27/10/2015","OTCQX U.S. Premier","N","Common Stock","","CAROLINA ALLIANCE BK (SC)","USA","Carolina Alliance Bank (Spartanburg SC)"
"CRLRF","OTC Link","27/10/2015","OTCQB","N","Ordinary Shares","","CRAILAR TECHNOLOGIES INC","Canada","Crailar Technologies Inc."
"CRMBQ","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CRUMBS BAKE SHOP INC","USA","Crumbs Bake Shop, Inc."
"CRMI","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","CORE RESOURCE MANAGEMENT","USA","Core Resource Management, Inc."
